,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
17820,Unknown,India,2021-05-06 04:20:38,0,0,0.0
11167,Unknown,India,2021-05-07 04:20:40,0,0,0.0
11204,Unknown,India,2021-05-08 04:21:04,0,0,0.0
16404,Unknown,India,2021-05-09 04:20:35,0,0,0.0
16441,Unknown,India,2021-05-10 04:20:38,0,0,0.0
7640,Unknown,India,2021-05-11 04:20:41,0,0,0.0
7603,Unknown,India,2021-05-12 04:21:29,0,0,0.0
19757,Unknown,India,2021-05-13 04:20:51,0,0,0.0
19794,Unknown,India,2021-05-14 04:20:41,0,0,0.0
12133,Unknown,India,2021-05-15 04:20:58,0,0,0.0
12096,Unknown,India,2021-05-16 04:20:49,0,0,0.0
4527,Unknown,India,2021-05-17 04:20:34,0,0,0.0
4564,Unknown,India,2021-05-18 04:20:33,0,0,0.0
21945,Unknown,India,2021-05-19 04:20:42,0,0,0.0
21982,Unknown,India,2021-05-20 04:21:05,0,0,0.0
14505,Unknown,India,2021-05-21 04:20:43,0,0,0.0
14468,Unknown,India,2021-05-22 04:20:45,0,0,0.0
4044,Unknown,India,2021-05-23 04:20:51,0,0,0.0
4081,Unknown,India,2021-05-24 04:20:53,0,0,0.0
7417,Unknown,India,2021-05-25 04:21:08,0,0,0.0
7380,Unknown,India,2021-05-26 04:20:35,0,0,0.0
22650,Unknown,India,2021-05-27 04:20:59,0,0,0.0
22687,Unknown,India,2021-05-28 04:20:36,0,0,0.0
5271,Unknown,India,2021-05-29 04:20:41,0,0,0.0
5308,Unknown,India,2021-05-30 04:20:55,0,0,0.0
19090,Unknown,India,2021-05-31 03:08:59,0,0,0.0
19053,Unknown,India,2021-06-01 04:23:09,0,0,0.0
9830,Unknown,India,2021-06-02 04:24:34,0,0,0.0
19127,Unknown,India,2021-06-03 04:23:32,0,0,0.0
19164,Unknown,India,2021-06-04 04:23:37,0,0,0.0
16961,Unknown,India,2021-06-05 04:23:03,0,0,0.0
16924,Unknown,India,2021-06-06 04:24:03,0,0,0.0
892,Unknown,India,2021-06-07 04:22:51,0,0,0.0
929,Unknown,India,2021-06-08 04:22:35,0,0,0.0
18307,Unknown,India,2021-06-09 04:23:31,0,0,0.0
18418,Unknown,India,2021-06-10 04:23:17,0,0,0.0
3896,Unknown,India,2021-06-11 04:23:20,0,0,0.0
3859,Unknown,India,2021-06-12 04:22:22,0,0,0.0
14618,Unknown,India,2021-06-13 04:22:44,0,0,0.0
14655,Unknown,India,2021-06-14 04:22:46,0,0,0.0
22761,Unknown,India,2021-06-15 04:22:22,0,0,0.0
22724,Unknown,India,2021-06-16 04:22:32,0,0,0.0
7306,Unknown,India,2021-06-17 04:22:36,0,0,0.0
7343,Unknown,India,2021-06-18 04:22:16,0,0,0.0
12949,Unknown,India,2021-06-19 04:22:33,0,0,0.0
12986,Unknown,India,2021-06-20 04:21:48,0,0,0.0
19942,Unknown,India,2021-06-21 04:21:41,0,0,0.0
19905,Unknown,India,2021-06-22 04:21:34,0,0,0.0
7454,Unknown,India,2021-06-23 04:21:46,0,0,0.0
7491,Unknown,India,2021-06-24 04:21:55,0,0,0.0
4488,Unknown,India,2021-06-25 04:21:33,0,0,0.0
4451,Unknown,India,2021-06-26 04:21:43,0,0,0.0
12170,Unknown,India,2021-06-27 04:21:39,0,0,0.0
12207,Unknown,India,2021-06-28 04:21:29,0,0,0.0
6492,Unknown,India,2021-06-29 04:21:28,0,0,0.0
6603,Unknown,India,2021-06-30 04:21:41,0,0,0.0
15250,Unknown,India,2021-07-01 04:21:19,0,0,0.0
18790,Unknown,India,2021-07-02 04:21:47,0,0,0.0
9385,Unknown,India,2021-07-03 04:21:37,0,0,0.0
9348,Unknown,India,2021-07-04 04:21:38,0,0,0.0
109,Unknown,India,2021-07-05 04:21:28,0,0,0.0
146,Unknown,India,2021-07-06 04:21:32,0,0,0.0
16254,Unknown,India,2021-07-07 04:21:20,0,0,0.0
16217,Unknown,India,2021-07-08 04:21:26,0,0,0.0
11128,Unknown,India,2021-07-09 04:21:21,0,0,0.0
11017,Unknown,India,2021-07-10 04:21:25,0,0,0.0
14024,Unknown,India,2021-07-11 04:21:43,0,0,0.0
14061,Unknown,India,2021-07-12 04:21:34,0,0,0.0
3193,Unknown,India,2021-07-13 04:21:18,0,0,0.0
3156,Unknown,India,2021-07-14 04:21:35,0,0,0.0
6122,Unknown,India,2021-07-15 04:21:48,0,0,0.0
6159,Unknown,India,2021-07-16 04:21:22,0,0,0.0
21832,Unknown,India,2021-07-17 04:22:22,0,0,0.0
21795,Unknown,India,2021-07-18 04:22:07,0,0,0.0
4303,Unknown,India,2021-07-19 04:21:24,0,0,0.0
4266,Unknown,India,2021-07-20 04:21:48,0,0,0.0
8641,Unknown,India,2021-07-21 04:21:40,0,0,0.0
8678,Unknown,India,2021-07-22 04:21:19,0,0,0.0
21018,Unknown,India,2021-07-23 04:21:29,0,0,0.0
20981,Unknown,India,2021-07-24 00:21:36,0,0,0.0
12764,Unknown,India,2021-07-25 04:22:12,0,0,0.0
12801,Unknown,India,2021-07-26 04:21:28,0,0,0.0
5086,Unknown,India,2021-07-27 04:21:18,0,0,0.0
5049,Unknown,India,2021-07-28 04:21:39,0,0,0.0
22613,Unknown,India,2021-07-29 04:21:33,0,0,0.0
22539,Unknown,India,2021-07-30 04:21:34,0,0,0.0
2451,Unknown,India,2021-07-31 04:21:35,0,0,0.0
2488,Unknown,India,2021-08-01 04:21:50,0,0,0.0
12912,Unknown,India,2021-08-02 04:21:36,0,0,0.0
5419,Unknown,India,2021-08-03 04:21:39,0,0,0.0
5456,Unknown,India,2021-08-04 04:21:25,0,0,0.0
8528,Unknown,India,2021-08-05 04:21:51,0,0,0.0
8491,Unknown,India,2021-08-06 04:21:18,0,0,
20610,Unknown,India,2021-08-07 04:21:30,0,0,
20647,Unknown,India,2021-08-08 04:21:33,0,0,
3822,Unknown,India,2021-08-09 04:21:24,0,0,
3933,Unknown,India,2021-08-10 04:21:27,0,0,
18381,Unknown,India,2021-08-11 04:21:58,0,0,
18344,Unknown,India,2021-08-12 04:21:25,0,0,
11761,Unknown,India,2021-08-13 04:21:24,0,0,
11798,Unknown,India,2021-08-14 04:21:25,0,0,
2377,Unknown,India,2021-08-15 04:21:41,0,0,
2340,Unknown,India,2021-08-16 04:21:31,0,0,
15732,Unknown,India,2021-08-17 04:21:49,0,0,
15769,Unknown,India,2021-08-18 04:21:35,0,0,
9867,Unknown,India,2021-08-19 04:21:15,0,0,
9904,Unknown,India,2021-08-20 04:21:33,0,0,
405,Unknown,India,2021-08-21 04:21:38,0,0,
368,Unknown,India,2021-08-22 04:21:29,0,0,
16330,Unknown,India,2021-08-23 04:21:27,0,0,
16367,Unknown,India,2021-08-24 04:21:19,0,0,
18603,Unknown,India,2021-08-25 04:21:41,0,0,
18566,Unknown,India,2021-08-26 04:21:28,0,0,
9198,Unknown,India,2021-08-27 04:21:37,0,0,
9235,Unknown,India,2021-08-28 04:21:28,0,0,
15213,Unknown,India,2021-08-29 04:21:14,0,0,
15287,Unknown,India,2021-08-30 04:21:23,0,0,
6566,Unknown,India,2021-08-31 04:21:46,0,0,
6529,Unknown,India,2021-09-01 04:21:38,0,0,
4340,Unknown,India,2021-09-02 04:21:15,0,0,
11911,Unknown,India,2021-09-03 04:21:20,0,0,
11874,Unknown,India,2021-09-04 04:21:28,0,0,
19981,Unknown,India,2021-09-05 04:21:33,0,0,
20018,Unknown,India,2021-09-06 04:21:22,0,0,
7788,Unknown,India,2021-09-07 04:21:35,0,0,
7751,Unknown,India,2021-09-08 04:21:31,0,0,
14098,Unknown,India,2021-09-09 04:21:27,0,0,
13987,Unknown,India,2021-09-10 04:21:20,0,0,
11054,Unknown,India,2021-09-11 04:21:30,0,0,
11091,Unknown,India,2021-09-12 04:21:13,0,0,
17783,Unknown,India,2021-09-13 04:21:15,0,0,
17746,Unknown,India,2021-09-14 04:21:41,0,0,
15398,Unknown,India,2021-09-15 03:22:37,0,0,
15435,Unknown,India,2021-09-16 04:22:19,0,0,
2006,Unknown,India,2021-09-17 04:21:46,0,0,
1969,Unknown,India,2021-09-18 04:21:24,0,0,
