Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,state_code
Mizoram,2020-06-19,130,0,1,129.0,19945.0,92.0,15
Madhya Pradesh,2020-06-19,11426,486,8632,2308.0,780675.0,10030.0,23
West Bengal,2020-06-19,12735,518,7001,5216.0,552926.0,9545.0,19
Gujarat,2020-06-19,25601,1591,17819,6191.0,632435.0,6563.0,24
Telangana,2020-06-19,6027,195,3301,2531.0,279041.0,1338.0,36
Odisha,2020-06-19,4512,11,3144,1357.0,265834.0,1141.0,21
Bihar,2020-06-19,7025,44,5056,1925.0,719043.0,9617.0,10
Arunachal Pradesh,2020-06-19,103,0,10,93.0,12264.0,24.0,12
Jharkhand,2020-06-19,1920,11,1198,711.0,108358.0,975.0,20
Assam,2020-06-19,4777,9,2654,2114.0,211966.0,1056.0,18
Uttar Pradesh,2020-06-19,15181,465,9239,5477.0,70280.0,1165.0,9
Maharashtra,2020-06-19,120504,5751,60838,53915.0,6914157.0,135950.0,27
Goa,2020-06-19,705,0,109,596.0,6111.0,56.0,30
Meghalaya,2020-06-19,44,1,30,13.0,13911.0,147.0,17
Punjab,2020-06-19,3615,83,2570,962.0,566141.0,14566.0,3
Delhi,2020-06-19,49979,1969,21341,26669.0,930700.0,11572.0,7
Ladakh,2020-06-19,687,1,95,591.0,9134.0,129.0,38
Nagaland,2020-06-19,193,0,103,90.0,1146.0,4.0,13
Jammu and Kashmir,2020-06-19,5555,71,3144,2340.0,326083.0,4358.0,1
Tamil Nadu,2020-06-19,52334,625,28641,23068.0,199404.0,3409.0,33
Tripura,2020-06-20,1178,1,657,520.0,83642.0,823.0,16
Dadra and Nagar Haveli and Daman and Diu,2020-06-20,62,0,14,48.0,153.0,0.0,26
Telangana,2020-06-20,6526,198,3353,2975.0,102144.0,572.0,36
Karnataka,2020-06-20,8281,124,5210,2947.0,735567.0,10159.0,29
Uttar Pradesh,2020-06-20,15785,488,9638,5659.0,1884672.0,22512.0,9
Andhra Pradesh,2020-06-20,7961,96,3917,3948.0,880138.0,7061.0,37
Delhi,2020-06-20,53116,2035,23569,27512.0,-18429.0,-950.0,7
Kerala,2020-06-20,2912,21,1511,1380.0,70943.0,266.0,32
Goa,2020-06-20,725,0,118,607.0,-202.0,0.0,30
Unknown,2020-06-20,9265,0,0,9265.0,-9265.0,0.0,97
Andaman and Nicobar Islands,2020-06-20,45,0,35,10.0,8988.0,129.0,35
Puducherry,2020-06-20,286,7,118,161.0,130436.0,1875.0,34
Ladakh,2020-06-20,744,1,95,648.0,20315.0,208.0,38
West Bengal,2020-06-20,13090,529,7303,5258.0,1804495.0,19430.0,19
Chandigarh,2020-06-20,381,6,315,60.0,2015.0,25.0,4
Meghalaya,2020-06-20,44,1,33,10.0,84805.0,1483.0,17
Maharashtra,2020-06-20,124331,5893,62773,55665.0,5428894.0,81407.0,27
Uttarakhand,2020-06-20,2177,26,1433,718.0,95457.0,1672.0,5
